2 clusters; 75 params
BIC: -6629.086138
Cheeseman_Stutz_Score: -741.420530410015090

feature_0,class 0,class 1
0,0.323530,0.037037
1,0.176471,0.037037
2,0.235294,0.037037
3,0.147059,0.222222
4,0.058823,0.185186
5,0.029412,0.222222
6,0.029412,0.259259

feature_1,class 0,class 1
0,0.103448,0.954545
1,0.896552,0.045455

feature_2,class 0,class 1
0,0.033333,0.478261
1,0.166667,0.043478
2,0.800000,0.478261

feature_3,class 0,class 1
0,0.599999,0.043479
1,0.366667,0.652173
2,0.033333,0.304348

feature_4,class 0,class 1
0,0.689656,0.636363
1,0.310344,0.363637

feature_5,class 0,class 1
0,0.193548,0.125001
1,0.258065,0.333333
2,0.225807,0.250000
3,0.322581,0.291666

feature_6,class 0,class 1
0,0.032258,0.333333
1,0.870967,0.166667
2,0.032258,0.250000
3,0.064516,0.250000

feature_7,class 0,class 1
1,0.413794,0.818181
2,0.586206,0.181819

feature_8,class 0,class 1
0,0.517241,0.500000
1,0.482759,0.500000

feature_9,class 0,class 1
0,0.266667,0.304348
1,0.333334,0.304348
2,0.400000,0.391305

feature_10,class 0,class 1
1,1.000000,1.000000

feature_11,class 0,class 1
0,0.344828,0.045455
1,0.655172,0.954545

feature_12,class 0,class 1
0,1.000000,1.000000

feature_13,class 0,class 1
2,1.000000,1.000000

feature_14,class 0,class 1
2,1.000000,1.000000

feature_15,class 0,class 1
0,1.000000,1.000000

feature_16,class 0,class 1
0,1.000000,1.000000

feature_17,class 0,class 1
0,1.000000,1.000000

feature_18,class 0,class 1
1,1.000000,1.000000

feature_19,class 0,class 1
0,0.827587,0.636363
1,0.172413,0.363637

feature_20,class 0,class 1
0,0.032258,0.458333
1,0.612903,0.041668
2,0.322581,0.041667
3,0.032259,0.458333

feature_21,class 0,class 1
0,0.032258,0.208333
1,0.354838,0.291667
2,0.580645,0.041667
3,0.032258,0.458333

feature_22,class 0,class 1
0,0.965517,0.500001
1,0.034483,0.499999

feature_23,class 0,class 1
0,0.413793,0.500000
1,0.586207,0.500000

feature_24,class 0,class 1
0,0.793104,0.954544
1,0.206896,0.045456

feature_25,class 0,class 1
0,0.965517,0.500000
2,0.034483,0.500000

feature_26,class 0,class 1
0,0.965517,0.500000
1,0.034483,0.500000

feature_27,class 0,class 1
0,0.034483,0.954544
3,0.965517,0.045456

feature_28,class 0,class 1
4,1.000000,1.000000

feature_29,class 0,class 1
0,1.000000,1.000000

feature_30,class 0,class 1
0,1.000000,1.000000

feature_31,class 0,class 1
0,1.000000,1.000000

feature_32,class 0,class 1
0,1.000000,1.000000

feature_33,class 0,class 1
0,1.000000,1.000000

feature_34,class 0,class 1
0,0.344827,0.954545
1,0.655173,0.045455


,class0,class1
,0.571428,0.428572
