NO_Class,NO_Trial,NO_ITER,LL,DIFF_LL,DIFF_CPT,YET_CUR_BEST_LL,Comments
3,1,1,-7478.183329,-7478.183329,6.694461,-inf,Still in CN Loop
3,1,11,-7429.872016,48.311314,0.000000,-inf,Still in CN Loop
3,1,21,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,31,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,41,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,47,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,48,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,49,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,50,-7429.872016,0.000000,0.000000,-inf,Still in CN Loop
3,1,50,-7429.872016,0.000000,-inf,Better LL and NO Conflict
3,2,1,-7465.003492,-7465.003492,6.792186,-7429.872016,Still in CN Loop
3,2,11,-7464.525833,0.477659,0.000000,-7429.872016,Still in CN Loop
3,2,21,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,2,31,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,2,41,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,2,47,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,2,48,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,2,49,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,2,50,-7464.525833,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,1,-7495.623207,-7495.623207,6.600370,-7429.872016,Still in CN Loop
3,3,11,-7429.872016,65.751192,0.000000,-7429.872016,Still in CN Loop
3,3,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,3,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,1,-7530.616632,-7530.616632,6.400173,-7429.872016,Still in CN Loop
3,4,11,-7479.817611,50.799020,0.000000,-7429.872016,Still in CN Loop
3,4,21,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,31,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,41,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,47,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,48,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,49,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,4,50,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,1,-7511.175291,-7511.175291,6.471151,-7429.872016,Still in CN Loop
3,5,11,-7429.872016,81.303275,0.158707,-7429.872016,Still in CN Loop
3,5,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,5,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,1,-7488.774973,-7488.774973,6.561175,-7429.872016,Still in CN Loop
3,6,11,-7448.968609,39.806364,0.000472,-7429.872016,Still in CN Loop
3,6,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,31,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,41,-7448.968609,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,6,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,1,-7429.893098,-7429.893098,6.844886,-7429.872016,Still in CN Loop
3,7,11,-7429.872016,0.021082,0.000000,-7429.872016,Still in CN Loop
3,7,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,7,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,1,-7454.250963,-7454.250963,6.627262,-7429.872016,Still in CN Loop
3,8,11,-7429.872016,24.378947,0.000000,-7429.872016,Still in CN Loop
3,8,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,8,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,1,-7467.250813,-7467.250813,6.630809,-7429.872016,Still in CN Loop
3,9,11,-7448.968609,18.282204,0.000029,-7429.872016,Still in CN Loop
3,9,21,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,31,-7448.968609,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,41,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,47,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,48,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,49,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,9,50,-7448.968609,0.000000,0.000000,-7429.872016,Still in CN Loop
3,10,1,-7492.174819,-7492.174819,6.721441,-7429.872016,Still in CN Loop
3,10,11,-7482.951120,9.223699,0.007932,-7429.872016,Still in CN Loop
3,10,21,-7482.951023,0.000097,0.000034,-7429.872016,Still in CN Loop
3,10,31,-7482.951023,0.000000,0.000000,-7429.872016,Still in CN Loop
3,10,41,-7482.951023,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,10,47,-7482.951023,0.000000,0.000000,-7429.872016,Still in CN Loop
3,10,48,-7482.951023,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,10,49,-7482.951023,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,10,50,-7482.951023,0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,1,-7612.436426,-7612.436426,6.203218,-7429.872016,Still in CN Loop
3,11,11,-7479.817611,132.618815,0.000000,-7429.872016,Still in CN Loop
3,11,21,-7479.817611,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,31,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,41,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,47,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,48,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,49,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,11,50,-7479.817611,0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,1,-7504.145330,-7504.145330,6.502095,-7429.872016,Still in CN Loop
3,12,11,-7429.872016,74.273315,0.000000,-7429.872016,Still in CN Loop
3,12,21,-7429.872016,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,12,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,1,-7545.826171,-7545.826171,6.216853,-7429.872016,Still in CN Loop
3,13,11,-7429.872016,115.954155,0.000000,-7429.872016,Still in CN Loop
3,13,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,13,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,1,-7522.663789,-7522.663789,6.038567,-7429.872016,Still in CN Loop
3,14,11,-7429.872016,92.791773,0.000000,-7429.872016,Still in CN Loop
3,14,21,-7429.872016,-0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,14,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,1,-7492.888447,-7492.888447,6.683505,-7429.872016,Still in CN Loop
3,15,11,-7479.423162,13.465284,0.000000,-7429.872016,Still in CN Loop
3,15,21,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,31,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,41,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,47,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,48,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,49,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,15,50,-7479.423162,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,1,-7434.577266,-7434.577266,6.810925,-7429.872016,Still in CN Loop
3,16,11,-7429.872016,4.705250,0.000000,-7429.872016,Still in CN Loop
3,16,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,16,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,1,-7430.135446,-7430.135446,6.826948,-7429.872016,Still in CN Loop
3,17,11,-7429.872016,0.263430,0.000000,-7429.872016,Still in CN Loop
3,17,21,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,31,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,41,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,47,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,48,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,49,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
3,17,50,-7429.872016,0.000000,0.000000,-7429.872016,Still in CN Loop
