3 clusters; 113 params
BIC: -6622.029161
Cheeseman_Stutz_Score: -690.595389605000491

feature_0,class 0,class 1,class 2
0,0.323533,0.058824,0.058822
1,0.176472,0.058824,0.058822
2,0.235297,0.058824,0.058822
3,0.147059,0.176471,0.235292
4,0.058815,0.176471,0.176485
5,0.029412,0.235294,0.176467
6,0.029412,0.235294,0.235289

feature_1,class 0,class 1,class 2
0,0.103437,0.916667,0.916669
1,0.896563,0.083333,0.083331

feature_2,class 0,class 1,class 2
0,0.033334,0.846154,0.076921
1,0.166669,0.076923,0.076921
2,0.799998,0.076923,0.846158

feature_3,class 0,class 1,class 2
0,0.599995,0.076923,0.076950
1,0.366671,0.384615,0.846130
2,0.033334,0.538462,0.076921

feature_4,class 0,class 1,class 2
0,0.689664,0.416667,0.833307
1,0.310336,0.583333,0.166693

feature_5,class 0,class 1,class 2
0,0.193541,0.214286,0.071449
1,0.258068,0.285714,0.357133
2,0.225809,0.214286,0.285707
3,0.322583,0.285714,0.285711

feature_6,class 0,class 1,class 2
0,0.032258,0.071429,0.571413
1,0.870966,0.071429,0.285733
2,0.032258,0.428571,0.071427
3,0.064517,0.428571,0.071427

feature_7,class 0,class 1,class 2
1,0.413798,0.916667,0.666646
2,0.586202,0.083333,0.333354

feature_8,class 0,class 1,class 2
0,0.517235,0.500000,0.500015
1,0.482765,0.500000,0.499985

feature_9,class 0,class 1,class 2
0,0.266670,0.384615,0.230763
1,0.333336,0.307692,0.307688
2,0.399994,0.307692,0.461550

feature_10,class 0,class 1,class 2
1,1.000000,1.000000,1.000000

feature_11,class 0,class 1,class 2
0,0.344830,0.083333,0.083336
1,0.655170,0.916667,0.916664

feature_12,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_13,class 0,class 1,class 2
2,1.000000,1.000000,1.000000

feature_14,class 0,class 1,class 2
2,1.000000,1.000000,1.000000

feature_15,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_16,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_17,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_18,class 0,class 1,class 2
1,1.000000,1.000000,1.000000

feature_19,class 0,class 1,class 2
0,0.827597,0.666667,0.583315
1,0.172403,0.333333,0.416685

feature_20,class 0,class 1,class 2
0,0.032258,0.785714,0.071427
1,0.612899,0.071429,0.071453
2,0.322584,0.071429,0.071427
3,0.032258,0.071429,0.785693

feature_21,class 0,class 1,class 2
0,0.032258,0.071429,0.357133
1,0.354831,0.071429,0.500013
2,0.580652,0.071429,0.071427
3,0.032258,0.785714,0.071427

feature_22,class 0,class 1,class 2
0,0.965517,0.916667,0.083362
1,0.034483,0.083333,0.916638

feature_23,class 0,class 1,class 2
0,0.413798,0.916667,0.083331
1,0.586202,0.083333,0.916669

feature_24,class 0,class 1,class 2
0,0.793114,0.916667,0.916638
1,0.206886,0.083333,0.083362

feature_25,class 0,class 1,class 2
0,0.965517,0.083333,0.916669
2,0.034483,0.916667,0.083331

feature_26,class 0,class 1,class 2
0,0.965517,0.083333,0.916669
1,0.034483,0.916667,0.083331

feature_27,class 0,class 1,class 2
0,0.034483,0.916667,0.916638
3,0.965517,0.083333,0.083362

feature_28,class 0,class 1,class 2
4,1.000000,1.000000,1.000000

feature_29,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_30,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_31,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_32,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_33,class 0,class 1,class 2
0,1.000000,1.000000,1.000000

feature_34,class 0,class 1,class 2
0,0.344819,0.916667,0.916669
1,0.655181,0.083333,0.083331


,class0,class1,class2
,0.559993,0.220000,0.220007
