5 clusters; 189 params
BIC: -6727.234943
Cheeseman_Stutz_Score: -681.650499198958642

feature_0,class 0,class 1,class 2,class 3,class 4
0,0.058823,0.058824,0.142857,0.352889,0.250039
1,0.058824,0.058824,0.142857,0.058835,0.249987
2,0.058823,0.058824,0.142857,0.235323,0.208314
3,0.235294,0.176471,0.142857,0.117652,0.166662
4,0.176471,0.176471,0.142857,0.117649,0.041666
5,0.176470,0.235294,0.142857,0.058825,0.041666
6,0.235294,0.235294,0.142857,0.058825,0.041666

feature_1,class 0,class 1,class 2,class 3,class 4
0,0.916667,0.916667,0.500000,0.250009,0.052631
1,0.083333,0.083333,0.500000,0.749991,0.947369

feature_2,class 0,class 1,class 2,class 3,class 4
0,0.076923,0.846154,0.333333,0.076926,0.049999
1,0.076923,0.076923,0.333333,0.076935,0.249988
2,0.846154,0.076923,0.333334,0.846139,0.700013

feature_3,class 0,class 1,class 2,class 3,class 4
0,0.076924,0.076923,0.333334,0.846103,0.400045
1,0.846153,0.384615,0.333333,0.076971,0.549956
2,0.076923,0.538462,0.333333,0.076926,0.049999

feature_4,class 0,class 1,class 2,class 3,class 4
0,0.833332,0.416667,0.500000,0.749948,0.631615
1,0.166668,0.583333,0.500000,0.250052,0.368385

feature_5,class 0,class 1,class 2,class 3,class 4
0,0.071429,0.214286,0.250000,0.285648,0.142905
1,0.357142,0.285714,0.250000,0.214314,0.285694
2,0.285714,0.214286,0.250000,0.214293,0.238090
3,0.285714,0.285714,0.250000,0.285746,0.333311

feature_6,class 0,class 1,class 2,class 3,class 4
0,0.571428,0.071429,0.250000,0.071431,0.047618
1,0.285715,0.071429,0.250000,0.785705,0.809529
2,0.071429,0.428571,0.250000,0.071431,0.047618
3,0.071429,0.428571,0.250000,0.071432,0.095235

feature_7,class 0,class 1,class 2,class 3,class 4
1,0.666666,0.916667,0.500000,0.499944,0.368461
2,0.333334,0.083333,0.500000,0.500056,0.631539

feature_8,class 0,class 1,class 2,class 3,class 4
0,0.500001,0.500000,0.500000,0.583325,0.473692
1,0.499999,0.500000,0.500000,0.416675,0.526308

feature_9,class 0,class 1,class 2,class 3,class 4
0,0.230769,0.384615,0.333333,0.076938,0.399982
1,0.307692,0.307692,0.333333,0.461484,0.250041
2,0.461539,0.307692,0.333334,0.461579,0.349976

feature_10,class 0,class 1,class 2,class 3,class 4
1,1.000000,1.000000,1.000000,1.000000,1.000000

feature_11,class 0,class 1,class 2,class 3,class 4
0,0.083333,0.083333,0.500000,0.833263,0.052698
1,0.916667,0.916667,0.500000,0.166737,0.947302

feature_12,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_13,class 0,class 1,class 2,class 3,class 4
2,1.000000,1.000000,1.000000,1.000000,1.000000

feature_14,class 0,class 1,class 2,class 3,class 4
2,1.000000,1.000000,1.000000,1.000000,1.000000

feature_15,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_16,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_17,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_18,class 0,class 1,class 2,class 3,class 4
1,1.000000,1.000000,1.000000,1.000000,1.000000

feature_19,class 0,class 1,class 2,class 3,class 4
0,0.583333,0.666667,0.500000,0.749978,0.842117
1,0.416667,0.333333,0.500000,0.250022,0.157883

feature_20,class 0,class 1,class 2,class 3,class 4
0,0.071429,0.785714,0.250000,0.071431,0.047618
1,0.071430,0.071429,0.250000,0.785702,0.428589
2,0.071429,0.071429,0.250000,0.071436,0.476176
3,0.785713,0.071429,0.250000,0.071431,0.047618

feature_21,class 0,class 1,class 2,class 3,class 4
0,0.357142,0.071429,0.250000,0.071431,0.047618
1,0.500000,0.071429,0.250000,0.785651,0.047680
2,0.071429,0.071429,0.250000,0.071487,0.857085
3,0.071429,0.785714,0.250000,0.071431,0.047618

feature_22,class 0,class 1,class 2,class 3,class 4
0,0.083335,0.916667,0.500000,0.916663,0.947370
1,0.916665,0.083333,0.500000,0.083337,0.052630

feature_23,class 0,class 1,class 2,class 3,class 4
0,0.083333,0.916667,0.500000,0.083359,0.631548
1,0.916667,0.083333,0.500000,0.916641,0.368452

feature_24,class 0,class 1,class 2,class 3,class 4
0,0.916666,0.916667,0.500000,0.499981,0.947369
1,0.083334,0.083333,0.500000,0.500019,0.052631

feature_25,class 0,class 1,class 2,class 3,class 4
0,0.916667,0.083333,0.500000,0.916663,0.947370
2,0.083333,0.916667,0.500000,0.083337,0.052630

feature_26,class 0,class 1,class 2,class 3,class 4
0,0.916667,0.083333,0.500000,0.916663,0.947370
1,0.083333,0.916667,0.500000,0.083337,0.052630

feature_27,class 0,class 1,class 2,class 3,class 4
0,0.916665,0.916667,0.500000,0.083337,0.052630
3,0.083335,0.083333,0.500000,0.916663,0.947370

feature_28,class 0,class 1,class 2,class 3,class 4
4,1.000000,1.000000,1.000000,1.000000,1.000000

feature_29,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_30,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_31,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_32,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_33,class 0,class 1,class 2,class 3,class 4
0,1.000000,1.000000,1.000000,1.000000,1.000000

feature_34,class 0,class 1,class 2,class 3,class 4
0,0.916667,0.916667,0.500000,0.833348,0.052644
1,0.083333,0.083333,0.500000,0.166652,0.947356


,class0,class1,class2,class3,class4
,0.211539,0.211538,0.019231,0.211528,0.346164
